manNum=30
womanNum=30
woman16=23,25,29,18,24,14,11,16,10,7,12,3,2,30,27,1,28,13,6,8,26,21,9,17,20,5,15,4,19,22
woman17=17,29,11,20,22,24,13,27,10,9,18,21,3,25,1,23,26,2,8,28,5,7,15,4,16,19,30,12,6,14
woman18=13,8,25,10,9,14,17,12,16,22,26,29,23,21,27,5,24,18,15,7,28,30,1,19,3,6,2,11,4,20
woman19=27,18,23,8,7,9,2,25,28,4,26,21,16,10,14,11,19,3,20,12,24,29,30,5,13,1,6,22,15,17
woman20=20,24,8,26,18,1,30,25,22,12,2,28,17,14,29,11,10,21,7,9,5,16,23,4,19,15,6,3,13,27
woman21=4,10,6,3,17,27,15,8,26,9,22,21,25,14,13,24,1,5,12,11,16,2,29,18,28,19,30,23,7,20
woman22=9,8,13,18,24,22,29,15,26,20,6,25,21,3,11,30,27,28,19,12,17,14,4,5,2,7,16,10,23,1
woman23=9,15,17,14,22,10,24,21,26,4,29,30,25,1,28,7,5,12,13,3,11,6,8,19,27,18,23,2,20,16
woman24=30,24,6,27,17,16,7,9,26,13,23,8,20,12,29,28,21,25,14,15,11,22,2,10,1,19,5,3,18,4
woman25=26,5,12,16,10,4,6,17,28,7,11,19,21,22,8,29,9,14,30,20,3,27,2,24,13,25,18,15,23,1
woman26=23,15,4,22,9,26,14,7,1,6,11,5,19,3,8,12,21,29,18,30,28,16,20,25,24,2,10,13,17,27
woman27=22,21,10,16,4,25,5,30,20,1,26,13,11,19,8,24,29,18,14,28,7,23,3,9,27,17,15,2,6,12
woman28=2,14,17,20,7,30,1,21,27,6,26,16,10,28,4,9,8,19,29,11,12,23,5,25,13,24,3,22,18,15
woman29=8,6,17,7,23,11,22,24,27,4,3,5,20,30,16,19,1,28,2,14,25,26,15,10,21,29,9,12,13,18
woman30=6,30,21,18,9,12,28,3,24,4,15,26,5,7,2,10,16,13,20,29,25,23,1,22,17,27,11,8,14,19
